alligator	crocodile	coord
alligator	frog	coord
alligator	lizard	coord
alligator	snake	coord
alligator	toad	coord
alligator	turtle	coord
alligator	animal	hyper
alligator	beast	hyper
alligator	carnivore	hyper
alligator	chordate	hyper
alligator	creature	hyper
alligator	predator	hyper
alligator	reptile	hyper
alligator	vertebrate	hyper
alligator	eye	mero
alligator	foot	mero
alligator	jaw	mero
alligator	leg	mero
alligator	mouth	mero
alligator	scale	mero
alligator	skin	mero
alligator	tail	mero
alligator	tooth	mero
alligator	addition	random-n
alligator	alternative	random-n
alligator	answer	random-n
alligator	arrears	random-n
alligator	clone	random-n
alligator	contestant	random-n
alligator	continent	random-n
alligator	courthouse	random-n
alligator	dock	random-n
alligator	handgun	random-n
alligator	message	random-n
alligator	methyl	random-n
alligator	recombination	random-n
alligator	rectifier	random-n
alligator	st	random-n
alligator	teenager	random-n
alligator	trombone	random-n
alligator	vitro	random-n
frog	alligator	coord
frog	bullfrog	coord
frog	lizard	coord
frog	snake	coord
frog	toad	coord
frog	turtle	coord
frog	amphibian	hyper
frog	animal	hyper
frog	beast	hyper
frog	chordate	hyper
frog	creature	hyper
frog	vertebrate	hyper
frog	blood	mero
frog	bone	mero
frog	eye	mero
frog	foot	mero
frog	gill	mero
frog	head	mero
frog	leg	mero
frog	lung	mero
frog	poison	mero
frog	skin	mero
frog	tongue	mero
frog	wart	mero
frog	X-ray	random-n
frog	adventurer	random-n
frog	argument	random-n
frog	bandanna	random-n
frog	block	random-n
frog	breast	random-n
frog	calendar	random-n
frog	candidacy	random-n
frog	choice	random-n
frog	dividend	random-n
frog	doyen	random-n
frog	ethnology	random-n
frog	eurostar	random-n
frog	force	random-n
frog	headwaters	random-n
frog	inspector	random-n
frog	joint	random-n
frog	opponent	random-n
frog	pgce	random-n
frog	potassium	random-n
frog	president	random-n
frog	review	random-n
frog	secure	random-n
frog	terminal	random-n
lizard	alligator	coord
lizard	chameleon	coord
lizard	frog	coord
lizard	gecko	coord
lizard	iguana	coord
lizard	salamander	coord
lizard	snake	coord
lizard	turtle	coord
lizard	animal	hyper
lizard	beast	hyper
lizard	carnivore	hyper
lizard	chordate	hyper
lizard	creature	hyper
lizard	reptile	hyper
lizard	vertebrate	hyper
lizard	blood	mero
lizard	eye	mero
lizard	head	mero
lizard	leg	mero
lizard	mouth	mero
