alligator	animal	hyper
alligator	beast	hyper
alligator	carnivore	hyper
alligator	chordate	hyper
alligator	creature	hyper
alligator	predator	hyper
alligator	reptile	hyper
alligator	vertebrate	hyper
alligator	addition	random-n
alligator	alternative	random-n
alligator	answer	random-n
alligator	arrears	random-n
alligator	clone	random-n
alligator	contestant	random-n
alligator	continent	random-n
alligator	courthouse	random-n
alligator	dock	random-n
alligator	handgun	random-n
alligator	message	random-n
alligator	methyl	random-n
alligator	recombination	random-n
alligator	rectifier	random-n
alligator	st	random-n
alligator	teenager	random-n
alligator	trombone	random-n
alligator	vitro	random-n
frog	amphibian	hyper
frog	animal	hyper
frog	beast	hyper
frog	chordate	hyper
frog	creature	hyper
frog	vertebrate	hyper
frog	X-ray	random-n
frog	adventurer	random-n
frog	argument	random-n
frog	bandanna	random-n
frog	block	random-n
frog	breast	random-n
frog	calendar	random-n
frog	candidacy	random-n
frog	choice	random-n
frog	dividend	random-n
frog	doyen	random-n
frog	ethnology	random-n
frog	eurostar	random-n
frog	force	random-n
frog	headwaters	random-n
frog	inspector	random-n
frog	joint	random-n
frog	opponent	random-n
frog	pgce	random-n
frog	potassium	random-n
frog	president	random-n
frog	review	random-n
frog	secure	random-n
frog	terminal	random-n
lizard	animal	hyper
lizard	beast	hyper
lizard	carnivore	hyper
lizard	chordate	hyper
lizard	creature	hyper
lizard	reptile	hyper
lizard	vertebrate	hyper
lizard	Ptolemy	random-n
lizard	blacksmith	random-n
lizard	communion	random-n
lizard	consolidation	random-n
lizard	crucible	random-n
lizard	dash	random-n
lizard	draftee	random-n
lizard	education	random-n
lizard	finding	random-n
lizard	injury	random-n
lizard	lens	random-n
lizard	majesty	random-n
lizard	mater	random-n
lizard	n	random-n
lizard	picking	random-n
lizard	premises	random-n
lizard	representation	random-n
lizard	someone	random-n
lizard	speaker	random-n
lizard	supplement	random-n
lizard	th	random-n
lizard	thay	random-n
lizard	treatment	random-n
snake	animal	hyper
snake	beast	hyper
snake	chordate	hyper
snake	creature	hyper
snake	reptile	hyper
snake	vertebrate	hyper
snake	attestation	random-n
snake	believer	random-n
snake	bumper	random-n
snake	cabinet	random-n
snake	cake	random-n
snake	cloister	random-n
snake	deprivation	random-n
snake	equivalence	random-n
snake	establishment	random-n
snake	grammar-school	random-n
snake	loan	random-n
snake	mixture	random-n
snake	modifier	random-n
snake	panto	random-n
snake	permission	random-n
snake	plastic	random-n
snake	protagonist	random-n
snake	shortlist	random-n
snake	slaughter	random-n
snake	treatment	random-n
turtle	amphibian	hyper
turtle	animal	hyper
turtle	beast	hyper
turtle	chordate	hyper
turtle	creature	hyper
turtle	food	hyper
turtle	pet	hyper
turtle	reptile	hyper
turtle	vertebrate	hyper
turtle	aim	random-n
turtle	apoptosis	random-n
turtle	bed	random-n
turtle	cashier	random-n
turtle	charge	random-n
turtle	couple	random-n
turtle	dock	random-n
turtle	dungaree	random-n
turtle	game	random-n
turtle	paradigm	random-n
turtle	partials	random-n
turtle	philosophy	random-n
turtle	projector	random-n
turtle	renewal	random-n
turtle	salary	random-n
turtle	salt	random-n
turtle	sugar	random-n
turtle	sycamore	random-n
turtle	th	random-n
turtle	toilet	random-n
dishwasher	appliance	hyper
dishwasher	artefact	hyper
dishwasher	artifact	hyper
dishwasher	commodity	hyper
dishwasher	device	hyper
dishwasher	good	hyper
dishwasher	object	hyper
dishwasher	Cavalier	random-n
dishwasher	Negro	random-n
dishwasher	advice	random-n
dishwasher	afterlife	random-n
dishwasher	appropriateness	random-n
dishwasher	availability	random-n
dishwasher	celebration	random-n
dishwasher	centre	random-n
dishwasher	cluster	random-n
dishwasher	concern	random-n
dishwasher	continuation	random-n
dishwasher	dentist	random-n
dishwasher	discrimination	random-n
dishwasher	donation	random-n
dishwasher	enthusiasm	random-n
dishwasher	examination	random-n
dishwasher	famine	random-n
dishwasher	fraternity	random-n
dishwasher	graduating	random-n
dishwasher	graveyard	random-n
dishwasher	horse	random-n
dishwasher	identity	random-n
dishwasher	intimacy	random-n
dishwasher	island	random-n
dishwasher	lantern	random-n
dishwasher	masonry	random-n
dishwasher	motorway	random-n
dishwasher	opportunity	random-n
dishwasher	oscillator	random-n
dishwasher	pharmacy	random-n
dishwasher	pill	random-n
dishwasher	resident	random-n
dishwasher	resource	random-n
dishwasher	sec	random-n
dishwasher	shop	random-n
dishwasher	speech	random-n
dishwasher	summary	random-n
dishwasher	switchover	random-n
dishwasher	valour	random-n
freezer	appliance	hyper
freezer	artefact	hyper
freezer	artifact	hyper
freezer	commodity	hyper
freezer	device	hyper
freezer	good	hyper
freezer	object	hyper
freezer	ASM	random-n
freezer	admission	random-n
freezer	agenda	random-n
freezer	bump	random-n
freezer	chalk	random-n
freezer	component	random-n
freezer	couple	random-n
freezer	culture	random-n
freezer	directory	random-n
freezer	employment	random-n
freezer	flap	random-n
freezer	fund	random-n
freezer	idea	random-n
freezer	ideal	random-n
freezer	investigation	random-n
freezer	issuer	random-n
freezer	linguist	random-n
freezer	microphone	random-n
freezer	moniker	random-n
freezer	present	random-n
freezer	refurbishment	random-n
freezer	remedy	random-n
freezer	rule	random-n
freezer	stroke	random-n
freezer	warning	random-n
fridge	appliance	hyper
fridge	artefact	hyper
fridge	artifact	hyper
fridge	commodity	hyper
fridge	device	hyper
fridge	good	hyper
fridge	object	hyper
fridge	adventure	random-n
fridge	bronze	random-n
fridge	cycle	random-n
fridge	downturn	random-n
fridge	elector	random-n
fridge	engineer	random-n
fridge	entertainment	random-n
fridge	footage	random-n
fridge	garden	random-n
fridge	habitat	random-n
fridge	infection	random-n
fridge	innovation	random-n
fridge	learner	random-n
fridge	nerve	random-n
fridge	off-campus	random-n
fridge	omission	random-n
fridge	pedal	random-n
fridge	plan	random-n
fridge	plea	random-n
fridge	prophecy	random-n
fridge	racism	random-n
fridge	release	random-n
fridge	remake	random-n
fridge	route	random-n
fridge	species	random-n
fridge	test	random-n
oven	appliance	hyper
oven	artefact	hyper
oven	artifact	hyper
oven	commodity	hyper
oven	device	hyper
oven	good	hyper
oven	object	hyper
oven	Chippendale	random-n
oven	O	random-n
oven	behavior	random-n
oven	cannot	random-n
oven	constituent	random-n
oven	conversation	random-n
oven	debut	random-n
oven	difficulty	random-n
oven	emulator	random-n
oven	experience	random-n
oven	fraction	random-n
oven	general	random-n
oven	generation	random-n
oven	ie	random-n
oven	import	random-n
oven	kilometre	random-n
oven	palette	random-n
oven	pitfall	random-n
oven	pump	random-n
oven	race	random-n
oven	re	random-n
oven	removal	random-n
oven	researcher	random-n
oven	saddle	random-n
oven	sore	random-n
oven	surroundings	random-n
oven	tee	random-n
oven	trust	random-n
oven	water	random-n
phone	appliance	hyper
phone	artefact	hyper
phone	artifact	hyper
phone	commodity	hyper
phone	device	hyper
phone	equipment	hyper
phone	gadget	hyper
phone	good	hyper
phone	object	hyper
phone	system	hyper
phone	artillery	random-n
phone	bark	random-n
phone	choice	random-n
phone	clearance	random-n
phone	closing	random-n
phone	entrepreneur	random-n
phone	goody	random-n
phone	hectare	random-n
phone	holiday	random-n
phone	man	random-n
phone	observer	random-n
phone	optic	random-n
phone	party	random-n
phone	philosophy	random-n
phone	polymer	random-n
phone	propeller	random-n
phone	salvation	random-n
phone	sanctity	random-n
phone	server	random-n
phone	shoe	random-n
phone	temp	random-n
phone	tenet	random-n
phone	theft	random-n
phone	tray	random-n
phone	turmoil	random-n
radio	appliance	hyper
radio	artefact	hyper
radio	artifact	hyper
radio	commodity	hyper
radio	device	hyper
